Disease   Association_Type  Gene
"Post-Traumatic Stress Disorder"	"Biomarker"	"FLT4"
"Post-Traumatic Stress Disorder"	"Biomarker"	"IL6"
"Post-Traumatic Stress Disorder"	"AlteredExpression"	"TNF"
"Post-Traumatic Stress Disorder"	"Biomarker"	"CRP"
"Post-Traumatic Stress Disorder"	"Biomarker"	"PKD2L1"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"SLC6A4"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"PKD2L1"
"Post-Traumatic Stress Disorder"	"Biomarker"	"LYZ"
"Post-Traumatic Stress Disorder"	"Biomarker"	"PKD2L1"
"Post-Traumatic Stress Disorder"	"Biomarker"	"ZBP1"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"SCLY"
"Post-Traumatic Stress Disorder"	"AlteredExpression"	"NR3C1"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"NOTCH1"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"CRHR1"
"Post-Traumatic Stress Disorder"	"Biomarker"	"FLT4"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"PKD2L1"
"Post-Traumatic Stress Disorder"	"AlteredExpression"	"TNF"
"Post-Traumatic Stress Disorder"	"Biomarker"	"FLT4"
"Post-Traumatic Stress Disorder"	"Biomarker"	"CREB1"
"Post-Traumatic Stress Disorder"	"Biomarker"	"ACP3"
"Post-Traumatic Stress Disorder"	"Biomarker"	"AGO2"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"FKBP5"
"Post-Traumatic Stress Disorder"	"Biomarker"	"FLT4"
"Post-Traumatic Stress Disorder"	"Biomarker"	"RTN4"
"Post-Traumatic Stress Disorder"	"Biomarker"	"APOE"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"ATF7IP"
"Post-Traumatic Stress Disorder"	"Biomarker"	"SLC6A4"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"PKD2L1"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"SLC6A4"
"Post-Traumatic Stress Disorder"	"AlteredExpression"	"YY1"
"Post-Traumatic Stress Disorder"	"Biomarker"	"TYS"
"Post-Traumatic Stress Disorder"	"Biomarker"	"CTNNB1"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"PKD2L1"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"COMT"
"Post-Traumatic Stress Disorder"	"Biomarker"	"FLT4"
"Post-Traumatic Stress Disorder"	"Biomarker"	"PRDX1"
"Post-Traumatic Stress Disorder"	"Biomarker"	"PKD2L1"
"Post-Traumatic Stress Disorder"	"Biomarker"	"CCL13"
"Post-Traumatic Stress Disorder"	"Biomarker"	"RORA"
"Post-Traumatic Stress Disorder"	"Biomarker"	"CRH"
"Post-Traumatic Stress Disorder"	"Biomarker"	"FLT4"
"Post-Traumatic Stress Disorder"	"AlteredExpression"	"MIR125A"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"ARSI"
"Post-Traumatic Stress Disorder"	"Biomarker"	"PRKCA"
"Post-Traumatic Stress Disorder"	"Biomarker"	"NR3C1"
"Post-Traumatic Stress Disorder"	"Biomarker"	"LTBP3"
"Post-Traumatic Stress Disorder"	"Biomarker"	"PKD2L1"
"Post-Traumatic Stress Disorder"	"AlteredExpression"	"FKBP5"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"CAT"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"PMAIP1"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"OR2L13"
"Post-Traumatic Stress Disorder"	"Biomarker"	"GZMB"
"Post-Traumatic Stress Disorder"	"Biomarker"	"PSD"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"KRT7"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"OXTR"
"Post-Traumatic Stress Disorder"	"AlteredExpression"	"BDNF"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"SLC6A4"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"IL1B"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"APOE"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"SLC6A3"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"FLT4"
"Post-Traumatic Stress Disorder"	"Biomarker"	"NR3C1"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"FLT4"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"PKD2L1"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"SRPX"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"SLC18A2"
"Post-Traumatic Stress Disorder"	"Biomarker"	"FLT4"
"Post-Traumatic Stress Disorder"	"Biomarker"	"FLT4"
"Post-Traumatic Stress Disorder"	"Biomarker"	"NLGN1"
"Post-Traumatic Stress Disorder"	"Biomarker"	"CRP"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"SLC6A4"
"Post-Traumatic Stress Disorder"	"Biomarker"	"DPYS"
"Post-Traumatic Stress Disorder"	"Biomarker"	"ADCYAP1R1"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"PKD2L1"
"Post-Traumatic Stress Disorder"	"Biomarker"	"FLT4"
"Post-Traumatic Stress Disorder"	"AlteredExpression"	"CDK4"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"PKD2L1"
"Post-Traumatic Stress Disorder"	"AlteredExpression"	"TNF"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"CRH"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"FKBP5"
"Post-Traumatic Stress Disorder"	"Biomarker"	"NPY"
"Post-Traumatic Stress Disorder"	"Biomarker"	"MRPS30"
"Post-Traumatic Stress Disorder"	"AlteredExpression"	"ENDOU"
"Post-Traumatic Stress Disorder"	"AlteredExpression"	"BDNF"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"FKBP4"
"Post-Traumatic Stress Disorder"	"Biomarker"	"ALOX15"
"Post-Traumatic Stress Disorder"	"AlteredExpression"	"GAPDH"
"Post-Traumatic Stress Disorder"	"Biomarker"	"TPH2"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"ALOX12"
"Post-Traumatic Stress Disorder"	"Biomarker"	"IFNG"
"Post-Traumatic Stress Disorder"	"Biomarker"	"POMC"
"Post-Traumatic Stress Disorder"	"Biomarker"	"C1QL1"
"Post-Traumatic Stress Disorder"	"Biomarker"	"CRP"
"Post-Traumatic Stress Disorder"	"Biomarker"	"VIP"
"Post-Traumatic Stress Disorder"	"Biomarker"	"OPN1SW"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"DTNBP1"
"Post-Traumatic Stress Disorder"	"Biomarker"	"PKD2L1"
"Post-Traumatic Stress Disorder"	"Biomarker"	"MIR339"
"Post-Traumatic Stress Disorder"	"Biomarker"	"REN"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"CRHR2"
"Post-Traumatic Stress Disorder"	"Biomarker"	"ACE"
"Post-Traumatic Stress Disorder"	"Biomarker"	"FLT4"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"MOCOS"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"GHRL"
"Post-Traumatic Stress Disorder"	"GeneticVariation"	"NPSR1"
"Post-Traumatic Stress Disorder"	"Biomarker"	"KLF6"
