"pert","cell","type","trend","WTCS","WTCS_Pval","WTCS_FDR","NCS","NCSct","N_upset","N_downset","t_gn_sym","MOAss","PCIDss","target_count"
"foretinib","MCF7","trt_cp","up",0.70077988988631,1.30120225430897e-05,6.23466946078869e-05,1.38920847421079,0.94368949954922,22,2,"ABL2; ALK; AURKC; AXL; BLK; BTK; CDK14; CDK15; CDK19; CDK7; CHEK2; DDR1; DDR2; EPHA1; EPHA2; EPHA3; EPHA4; EPHA5; EPHA6; EPHA7; EPHA8; EPHB1; EPHB2; EPHB3; EPHB4; EPHB6; FER; FGR; FLT4; FYN; HCK; HGF; HIPK3; HIPK4; INSRR; ITK; KDR; MAP2K1; MAP2K2; MAP2K5; MAP3K12; MAP3K13; MAP3K19; MAP4K1; MAP4K5; MAPK13; MAPK15; MERTK; MKNK1; MKNK2; MLTK; MST1R; MUSK; NTRK1; NTRK2; NTRK3; PDGFRA; PIP4K2C; PLK4; PTK2B; PTK6; RET; RIPK2; ROS1; SLK; SRMS; STK10; TEK; TIE1; TNK1; TYRO3; YES1",NA,"42642645",71
"foretinib","SKBR3","trt_cp","up",0.514617857020842,2.11064579712325e-05,6.23466946078869e-05,1.07258080352203,0.94368949954922,22,2,"ABL2; ALK; AURKC; AXL; BLK; BTK; CDK14; CDK15; CDK19; CDK7; CHEK2; DDR1; DDR2; EPHA1; EPHA2; EPHA3; EPHA4; EPHA5; EPHA6; EPHA7; EPHA8; EPHB1; EPHB2; EPHB3; EPHB4; EPHB6; FER; FGR; FLT4; FYN; HCK; HGF; HIPK3; HIPK4; INSRR; ITK; KDR; MAP2K1; MAP2K2; MAP2K5; MAP3K12; MAP3K13; MAP3K19; MAP4K1; MAP4K5; MAPK13; MAPK15; MERTK; MKNK1; MKNK2; MLTK; MST1R; MUSK; NTRK1; NTRK2; NTRK3; PDGFRA; PIP4K2C; PLK4; PTK2B; PTK6; RET; RIPK2; ROS1; SLK; SRMS; STK10; TEK; TIE1; TNK1; TYRO3; YES1",NA,"42642645",71
"foretinib","HS578T","trt_cp","up",0.480525426210249,2.25860859527209e-05,6.23466946078869e-05,0.874286489717709,0.94368949954922,22,2,"ABL2; ALK; AURKC; AXL; BLK; BTK; CDK14; CDK15; CDK19; CDK7; CHEK2; DDR1; DDR2; EPHA1; EPHA2; EPHA3; EPHA4; EPHA5; EPHA6; EPHA7; EPHA8; EPHB1; EPHB2; EPHB3; EPHB4; EPHB6; FER; FGR; FLT4; FYN; HCK; HGF; HIPK3; HIPK4; INSRR; ITK; KDR; MAP2K1; MAP2K2; MAP2K5; MAP3K12; MAP3K13; MAP3K19; MAP4K1; MAP4K5; MAPK13; MAPK15; MERTK; MKNK1; MKNK2; MLTK; MST1R; MUSK; NTRK1; NTRK2; NTRK3; PDGFRA; PIP4K2C; PLK4; PTK2B; PTK6; RET; RIPK2; ROS1; SLK; SRMS; STK10; TEK; TIE1; TNK1; TYRO3; YES1",NA,"42642645",71
"dithiothreitol","NPC","trt_cp","up",0.563664876094742,1.89740529390873e-05,6.23466946078869e-05,1.10498982461886,1.09952510262524,22,2,"AXIN1; BRD2; BRD4; CAMK2A; CAMK2D; CASP8; CHKA; DAB2; DAPK2; DAPK3; DPY30; DSP; FASN; FSCN1; FXR1; GGA1; GSTO1; GSTZ1; HACL1; HRAS; HS6ST1; HSPA2; HSPA8; ILVBL; ING4; ISPD; KPNA2; MRE11A; MSRA; MYO6; NME2; OSBPL5; OSBPL8; OTC; PER2; PER3; PHLPP2; POLH; PPIB; PPIC; PUM1; PUM2; QARS; RABEP1; REL; RELA; RP11-196G11.1; SH3PXD2A; SH3PXD2B; STAMBP; STAMBPL1; TIRAP; TNPO3; TP53; TRPM7; TYK2; VKORC1",NA,"19001",56
"dithiothreitol","NEU","trt_cp","up",0.590220694637242,1.78425727179491e-05,6.23466946078869e-05,1.09670994281034,1.09952510262524,22,2,"AXIN1; BRD2; BRD4; CAMK2A; CAMK2D; CASP8; CHKA; DAB2; DAPK2; DAPK3; DPY30; DSP; FASN; FSCN1; FXR1; GGA1; GSTO1; GSTZ1; HACL1; HRAS; HS6ST1; HSPA2; HSPA8; ILVBL; ING4; ISPD; KPNA2; MRE11A; MSRA; MYO6; NME2; OSBPL5; OSBPL8; OTC; PER2; PER3; PHLPP2; POLH; PPIB; PPIC; PUM1; PUM2; QARS; RABEP1; REL; RELA; RP11-196G11.1; SH3PXD2A; SH3PXD2B; STAMBP; STAMBPL1; TIRAP; TNPO3; TP53; TRPM7; TYK2; VKORC1",NA,"19001",56
"dithiothreitol","FIBRNPC","trt_cp","up",0.349128069398508,2.9440244984616e-05,6.45001858558835e-05,0.6917172167976,1.09952510262524,22,2,"AXIN1; BRD2; BRD4; CAMK2A; CAMK2D; CASP8; CHKA; DAB2; DAPK2; DAPK3; DPY30; DSP; FASN; FSCN1; FXR1; GGA1; GSTO1; GSTZ1; HACL1; HRAS; HS6ST1; HSPA2; HSPA8; ILVBL; ING4; ISPD; KPNA2; MRE11A; MSRA; MYO6; NME2; OSBPL5; OSBPL8; OTC; PER2; PER3; PHLPP2; POLH; PPIB; PPIC; PUM1; PUM2; QARS; RABEP1; REL; RELA; RP11-196G11.1; SH3PXD2A; SH3PXD2B; STAMBP; STAMBPL1; TIRAP; TNPO3; TP53; TRPM7; TYK2; VKORC1",NA,"19001",56
"dovitinib","PC3","trt_cp","down",-0.581581581519601,1.81907204782993e-05,6.23466946078869e-05,-1.20240278371669,-0.0347461490794524,22,2,"ABL2; ANKK1; BLK; BMP2K; BTK; CSF1R; EGFR; FGFR2; FGFR3; FGR; FLT1; FLT3; FLT4; FYN; HCK; INSR; IRAK4; KDR; KIT; LRRK2; MAP2K5; MAP3K11; MAP3K19; MAP3K2; MAP3K7; MAP4K1; MAP4K4; MAP4K5; MARK4; MAST1; MELK; MINK1; MYLK2; MYLK3; MYLK4; NR1I2; NTRK1; NTRK2; NTRK3; NUAK1; PDGFRA; PDGFRB; PHKG1; PKN1; RET; RPS6KA1; RPS6KA2; RPS6KA6; SIK2; STK4; TNIK; TYK2; TYRO3; ULK1; ULK2; YES1","EGFR inhibitor; FGFR inhibitor; FLT3 inhibitor; PDGFR receptor inhibitor; VEGFR inhibitor","9886808",55
"dovitinib","VCAP","trt_cp","down",-0.534126777775637,2.02796070404007e-05,6.23466946078869e-05,-1.11236980695828,-0.0347461490794524,22,2,"ABL2; ANKK1; BLK; BMP2K; BTK; CSF1R; EGFR; FGFR2; FGFR3; FGR; FLT1; FLT3; FLT4; FYN; HCK; INSR; IRAK4; KDR; KIT; LRRK2; MAP2K5; MAP3K11; MAP3K19; MAP3K2; MAP3K7; MAP4K1; MAP4K4; MAP4K5; MARK4; MAST1; MELK; MINK1; MYLK2; MYLK3; MYLK4; NR1I2; NTRK1; NTRK2; NTRK3; NUAK1; PDGFRA; PDGFRB; PHKG1; PKN1; RET; RPS6KA1; RPS6KA2; RPS6KA6; SIK2; STK4; TNIK; TYK2; TYRO3; ULK1; ULK2; YES1","EGFR inhibitor; FGFR inhibitor; FLT3 inhibitor; PDGFR receptor inhibitor; VEGFR inhibitor","9886808",55
"dovitinib","ASC","trt_cp","down",-0.47083853253929,2.30212706531587e-05,6.23466946078869e-05,-0.945094908675851,-0.0347461490794524,22,2,"ABL2; ANKK1; BLK; BMP2K; BTK; CSF1R; EGFR; FGFR2; FGFR3; FGR; FLT1; FLT3; FLT4; FYN; HCK; INSR; IRAK4; KDR; KIT; LRRK2; MAP2K5; MAP3K11; MAP3K19; MAP3K2; MAP3K7; MAP4K1; MAP4K4; MAP4K5; MARK4; MAST1; MELK; MINK1; MYLK2; MYLK3; MYLK4; NR1I2; NTRK1; NTRK2; NTRK3; NUAK1; PDGFRA; PDGFRB; PHKG1; PKN1; RET; RPS6KA1; RPS6KA2; RPS6KA6; SIK2; STK4; TNIK; TYK2; TYRO3; ULK1; ULK2; YES1","EGFR inhibitor; FGFR inhibitor; FLT3 inhibitor; PDGFR receptor inhibitor; VEGFR inhibitor","9886808",55
"dovitinib","SKBR3","trt_cp","down",-0.43729263030844,2.45008986346472e-05,6.23466946078869e-05,-0.86865372698631,-0.0347461490794524,22,2,"ABL2; ANKK1; BLK; BMP2K; BTK; CSF1R; EGFR; FGFR2; FGFR3; FGR; FLT1; FLT3; FLT4; FYN; HCK; INSR; IRAK4; KDR; KIT; LRRK2; MAP2K5; MAP3K11; MAP3K19; MAP3K2; MAP3K7; MAP4K1; MAP4K4; MAP4K5; MARK4; MAST1; MELK; MINK1; MYLK2; MYLK3; MYLK4; NR1I2; NTRK1; NTRK2; NTRK3; NUAK1; PDGFRA; PDGFRB; PHKG1; PKN1; RET; RPS6KA1; RPS6KA2; RPS6KA6; SIK2; STK4; TNIK; TYK2; TYRO3; ULK1; ULK2; YES1","EGFR inhibitor; FGFR inhibitor; FLT3 inhibitor; PDGFR receptor inhibitor; VEGFR inhibitor","9886808",55
